/* DESCRIPTION:
Reference:	Hodell, D.A., K.A. Venz, C.D. Charles, and U.S. Ninnemann.  2003. Pleistocene vertical carbon isotope and carbonate gradients in the South Atlantic sector of the Southern Ocean. Geochemistry, Geophysics, Geosystems, Vol. 4, Number 1, 1004, doi:1010.1029/2002GC000367
Data from:	https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/hodell2003/. Accessed 22 Nov 2022.
Comment:	Empty data points were removed.
	Several variables from the original dataset are not included here.
*/
Age (ka)	d18O G. bulloides (permil)	d13C G. bulloides (permil)	d18O Cibicidoides (permil)	d13C Cibicidoides (permil)	CaCO3 (wt%)
430.42	3.27	-0.11	4.28	-1.17	49.3
430.7	3.26	-0.22	4.27	-0.99	49.1
430.98	3.11	-0.66	4.17	-1.3	45.2
431.26	3.14	-0.68	4.4	-0.72	46.9
431.54	3.34	-0.81	4.34	-1.04	47.6
431.82	3.59	-0.07	4.29	-1.13	47.9
432.1	3.39	-0.39	4.42	-1.06	47
432.38	3.42	-0.45	4.33	-1.34	46.1
432.66	3.39	-0.28	4.38	-1.03	47.8
432.94	3.48	-0.27	4.38	-1.51	50.2
433.22			4.44	-0.93	51
433.5			4.36	-1.14	50.9
433.78			4.43	-1.19	51.1
434.04	3.56	0.12	4.29	-0.94	51.8
434.21	3.4	-0.24	4.5	-1.15	55.2
434.39	3.61	0.13	4.3	-1.36	53.3
434.57	3.25	-0.24	4.28	-1.46	53.4
434.75	3.62	-0.02	4.35	-0.88	52.7
434.93	3.64	-0.32	4.34	-1.45	51.1
435.11	3.53	-0.05	4.23	-1.23	53.1
435.29	3.35	-0.12	4.38	-1.52	52.9
435.46	3.47	-0.39	4.31	-1.28	52.6
435.64	3.3	-0.2	4.48	-1.12	50.8
435.82	3.22	-0.16	4.41	-0.85	51.1
436	3.21	-0.22	4.44	-0.99	45.2
436.18	3.41	-0.05	4.36	-1.02	46.8
436.36	3.44	-0.15	4.3	-1.47	44
436.54	3.4	-0.3	4.19	-1.23	44.3
436.71	3.11	-0.64	4.25	-1.68	40.2
436.89	3.35	-0.22	4.3	-1.53	34.8
437.07	3.27	-0.15	4.23	-1.1	32.1
437.25	3.14	-0.36	4.21	-1.29	29.8
437.43	3.11	-0.83	4.25	-1.25	25.7
437.61	3.29	-0.52	4.3	-1.03	25.8
437.79	3.06	-0.54	4.26	-1.22	28.7
437.96	3.23	-0.4	4.33	-1.36	28.3
438.14	3.2	-0.47			28.8
438.32	3.27	-0.46	4.26	-1.31	29.3
438.5	3.1	-0.3	4.26	-1.38	32.2
438.68	3.16	-0.28	4.27	-1.08	34.8
438.86	3.33	-0.6	4.36	-0.92	32.5
439.04	3.39	-0.18	4.26	-0.98	35.8
439.21	3.33	-0.4	4.36	-1.15	38.7
439.39			4.28	-1.35	37
439.57	3.23	0.01	4.16	-1.2	37.8
439.75	3.27	-0.33	4.13	-1.39	37.4
439.93	3.64	0.04	4.12	-1.33	38
440.11	3.48	0.03	4.2	-1.36	32.8
440.29	3.49	-0.19	4.19	-0.97	30.1
440.46	3.39	-0.13	4.22	-1.1	33.3
440.64	3.17	-0.31	4.25	-1.39	34
440.82	3.35	-0.07	4.25	-1.06	34.7
441	3.22	-0.23	4.29	-0.9	35.5
441.18	3.22	-0.12	4.28	-1.07	41.5
441.36	3.33	-0.4	4.19	-1.49	36
441.54	3.44	-0.16	4.32	-1.3	33.3
441.71	3.16	-0.43	4.25	-1.18	33.9
441.89	3.43	0.03	4.24	-1.14	30.4
442.07	3.48	-0.23	4.27	-1.37	32.9
442.25	3.3	0.17	4.23	-1.25	32.3
442.43	3.52	-0.11	4.19	-1.38	32.7
442.61	3.46	0.02	4.24	-1.17	36
442.79	3.41	0.04	4.21	-1.29	36
442.96	3.34	0.03	4.12	-1.18	38.1
443.14	3.55	-0.03	4.19	-1.22	38.5
443.32	3.33	-0.02	4.13	-1.04	40.6
443.5	3.29	-0.43	4.07	-1.07	43.3
443.86			4.14	-1.23	38.3
444.04	3.39	-0.14	4.09	-0.83	39.3
444.21	3.33	-0.11	4.1	-1.3	40
444.39	3.3	-0.01	4.15	-1.2	41.3
444.57	3.06	-0.19	4.16	-0.91	41.7
444.75	3.22	0.01	4.09	-1.05	40.8
444.93	3.28	-0.06	4.15	-1.11	40.2
445.11	2.83	-0.02	4.16	-1.49	41.4
445.29	3.06	-0.42	4.16	-1.13	42.2
445.46	2.83	-0.39	4.16	-1.47	40.8
445.64			4.16	-1.35	40.9
445.82	3.08	-0.23	4.07	-1.26	42.7
446	2.94	-0.24	4.14	-1.32	41.7
446.18	3.1	0.07	4.13	-1.06	42.4
446.36	3.18	-0.12	4.02	-1.34	43.6
446.54	2.84	-0.44	4.09	-1.16	43.9
446.71	2.92	-0.18	4.03	-1.15	45.5
446.89	3.16	-0.12	4.07	-1.01	46.5
447.07	3.04	-0.49	4.06	-1.1	46.3
447.25			3.96	-1.17	47.4
447.43	2.84	-0.5	4.03	-1.03	48
447.61	2.78	-0.28	4.1	-1.18	47
447.79	2.66	-0.37	4.09	-0.96	46.9
447.96			4.09	-0.92	50.2
448.14	2.98	-0.11	4.01	-1.2	49.6
448.32	2.87	-0.21	4	-1.36	48.8
448.5	2.84	-0.31	3.92	-1.16	48.8
448.68	2.91	-0.22	4.1	-1.18	50.7
448.86	2.95	-0.27	4.03	-1.07	55.2
449.04			4.01	-0.92	57.2
449.21	3.1	-0.04	3.97	-1.03	59.2
449.39	3.03	-0.1	3.87	-0.66	60.4
449.57	3.07	0.05	3.87	-0.9	61
449.75	3.13	0.19	3.9	-1.15	55.3
449.93	2.93	-0.09	3.96	-0.93	47.6
450.11	2.67	-0.39	3.83	-0.8	49.4
450.29	2.68	-0.1	3.93	-0.99	51.4
450.46	2.88	-0.05	3.92	-1.38	47.5
450.64	2.95	-0.02	3.94	-1.05	45.5
450.82	2.83	-0.23	3.92	-1.17	39.3
451	2.9	-0.07	3.95	-0.93	39.1
451.18	2.67	-0.33	3.94	-1.42	43.3
451.36	2.74	-0.35	3.94	-1.03	43.3
451.54			3.94	-1.14	40.8
451.71			3.91	-0.95	35.8
451.89	2.78	-0.31	3.87	-1.04	41
452.07	2.64	-0.34	3.85	-0.81	45
452.25			3.85	-1	54.2
452.43			3.88	-0.61	52.8
452.61			3.86	-0.96	46.4
452.79			3.83	-1.05	41.8
452.96			3.79	-1.27	35.7
453.14			3.79	-1.11	37.5
453.32			3.76	-1.15	36
453.68			3.8	-0.91	30.4
453.86			3.98	-0.95	29.5
454.04			3.88	-1.25	27.3
454.21			3.84	-0.97	25.2
454.39			3.92	-0.97	23.8
454.57			3.89	-1.19	23.6
454.75			3.87	-0.9	22.8
454.93			3.85	-1.11	20.8
455.11			3.83	-0.93	21.1
455.29			3.82	-1.06	20.4
455.46			3.83	-1.06	20.2
455.64			3.83	-1.2	20.8
455.82			3.83	-1.16	21.2
456			3.89	-1.03	24.3
456.18			4.01	-1.09	24.7
456.36			3.95	-1.22	27.3
456.54	2.88	-0.05	3.92	-1	31.3
456.71	2.73	-0.16	3.88	-1.07	33.2
456.89	2.63	-0.24	3.89	-1.19	36.2
457.07	2.93	-0.1	3.92	-1.17	39.3
457.25			3.83	-0.87	38
457.43			3.8	-0.65	30.8
457.61			3.68	-1.04	22.7
457.79			3.82	-0.95	27.6
457.96			3.8	-1.42	33.8
458.14			3.88	-0.95	38
458.32			3.79	-1.25	41.2
458.43			3.8	-0.62	48.7
458.61			3.88	-0.99	46.3
458.79			3.81	-0.73	44.8
458.96			3.83	-0.28	40.2
459.14					27.7
459.32			3.72	-1.27	19.4
459.5			3.8	-0.92	20.9
459.68			3.74	-1.03	18.8
459.86			3.85	-1.23	18.3
460.04			3.83	-1.1	19.8
460.21	2.78	0.07	3.81	-1.35	17.3
460.39			3.83	-1.21	16.8
460.57	2.74	-0.2	3.81	-0.96	18.5
460.75	2.81	0.01	3.85	-1.28	20.3
460.93	2.82	-0.3	3.86	-0.92	23.5
461.11	2.64	-0.29	3.79	-0.96	20.9
461.29	2.99	-0.13	3.87	-0.55	19
461.46	2.8	0.15	3.87	-1.2	20.8
461.64	2.69	-0.01			25.2
461.82			3.87	-1.11	25.2
462	2.78	0.15	3.84	-1.16	25.5
462.18	2.69	0.05	3.82	-1.41	28.8
462.36	3.02	0.28	3.85	-1.25	28.4
462.54	2.9	0.02	3.83	-1.45	25.8
462.71	2.89	0.27	3.73	-1.24	25.1
462.89	2.69	-0.08	3.93	-1.39	26.3
463.07	2.91	0.09	3.82	-1.03	25.3
463.25	2.76	-0.1	3.82	-1.24	24.8
463.43			3.69	-0.92	29.1
463.61	2.86	0.24	3.79	-0.95	27.1
463.79	2.83	0.14	3.72	-0.81	27.8
463.96	2.49	-0.24	3.8	-0.69	27.7
464.14			3.74	-0.75	31.3
464.32	2.87	0.08	3.64	-1.1	34.5
464.5			3.72	-1.22	34.3
464.68			3.71	-1.01	37
464.86	2.68	-0.02	3.62	-1.04	38.3
465.04	2.3	-0.17	3.62	-0.7	35.8
465.21	2.79	0.25	3.68	-0.59	29.6
465.39	2.5	-0.18	3.73	-0.9	22.4
465.57	2.56	-0.19	3.71	-1.18	23.8
465.75	2.63	-0.3	3.74	-0.95	23.2
465.93			3.65	-1.14	21.9
466.11			3.61	-1.43	20.4
466.29	2.62	-0.08	3.73	-1.42	22.4
466.46	2.48	-0.1	3.73	-1.11	22.7
466.64	2.56	-0.21	3.69	-1	23.6
466.82	2.63	-0.23	3.7	-1.09	23.3
467	2.72	0.06	3.66	-1.04	24.6
467.18	2.61	-0.02	3.76	-1.33	26.3
467.36	2.55	0.05			24.8
467.54			3.7	-0.93	25.1
467.71			3.85	-1.13	26.5
467.89	2.64	-0.4	3.73	-0.96	29.4
468.07	2.74	0.06	3.71	-0.91	33.3
468.25			3.67	-1.02	35.3
468.43			3.7	-1.11	35.8
468.61	2.74	0.14	3.67	-0.49	
468.79	2.81	0.3	3.66	-1.02	14.2
468.96	2.69	0.37	3.65	-1.33	6.6
469.14			3.81	-0.78	8.6
469.32	2.77	-0.06	3.74	-0.77	12.8
469.5			3.75	-0.7	7.6
469.68			3.65	-1.06	4.3
469.86	2.67	0.11	3.5	-1.1	3
470.04	2.48	-0.2	3.84	-0.55	1.4
470.21			3.7	-0.39	2
470.39			3.73	-0.65	1.5
470.57			3.65	-0.8	1.8
470.75			3.91	-0.72	1.5
470.93			3.66	-1.02	2.3
471.11					0.3
471.29			3.7	-0.83	1.1
471.46			3.55	-0.55	4.1
471.64			3.51	-0.48	5.3
471.82			3.51	0.03	9.2
472	2.23	0.21	3.45	-0.03	9.1
472.21	2.1	0.01	3.48	-0.25	13.8
472.41			3.3	0.01	12.8
472.62			3.41	0.13	6.3
472.82			3.26	-0.27	8.1
473.03					0.3
473.23			3.27	-0.55	2.7
473.44			3.34	-0.53	3.3
473.65			3.61	-0.44	3
473.85			3.41	-0.71	5.4
474.06			3.34	-0.89	10.2
474.26			3.44	-0.33	10.3
474.47	2.16	0.68	3.43	-0.12	13.7
474.67	1.93	0.44	3.33	-0.1	17.5
474.88			3.33	0.1	14.6
475.09			3.24	0	10.8
475.29			3.25	0.14	18.3
475.5			3.23	0.13	15.7
475.7			3.16	-0.05	13.8
475.91					6.6
476.12			3	-0.22	5.5
476.24	2.03	0.51	3.13	0.19	10.2
476.44			3.12	0.04	3.3
476.65			3.13	-0.09	8.4
476.86			3.07	0.02	7.3
477.06					7.5
477.27	2	0.01	3.17	-0.47	11.8
477.47	2.05	0.59	3.26	-0.1	14.8
477.68	2.04	0.65	3.18	0.05	15.1
477.88			3.15	0.18	13.5
478.09			3.18	0.26	11.3
478.3	2.14	0.28	3.11	0.2	29
478.5			3.05	0.28	23.8
478.71			3.07	0.29	27.2
478.91			3.01	0.41	25.1
479.12			3.05	-0.08	28.5
479.33	2.52	0.44	3	-0.1	25.3
479.53			3.05	0.36	21.2
479.74			3.03	0.21	20.4
479.94			3.1	0.27	24.3
480.15			2.97	-0.14	16.6
480.35	1.95	0.46	3	-0.04	26.8
480.56			2.96	0.21	20
480.77			3.04	0.15	11.6
480.97			2.99	0.34	14.2
481.18					14.7
481.38	1.96	0.92	2.98	0.25	12.9
481.59			3	0.53	14.8
481.79	2.02	0.91	2.99	0.19	14.8
482	1.97	0.78	2.98	0.69	18.9
482.62	1.89	0.55	3	0.2	20.3
483.24	1.71	0.25	3.16	0.22	17.1
483.87			3.05	0.1	15.8
484.49	1.98	0.49	3.06	0.15	17.4
485.11			3.08	0.2	13.3
485.73	1.99	0.06	3.11	-0.07	15.7
486.36	1.85	0.12	3.12	0.27	15.8
486.98			3.1	0.21	8.8
487.6			3.12	0.27	12.3
488.22			3.21	0.24	12.6
488.84	1.88	0.48			13.8
489.47	2.15	0.2	3.09	0.45	17.8
490.09	2.12	0.65	3.14	0.28	19.8
490.71			3.14	0.35	22.9
491.33	1.97	0.61	3.07	0.33	25.4
491.96	2.18	0.81	3.03	0.15	25.4
492.58	2	0.15	3.05	0.24	23.1
493.2	1.96	0.53	3.26	0.05	28.6
493.82	2.18	0.8	3.25	-0.14	30.1
494.44	2.17	0.41	3.14	0.2	32.3
495.07	2.08	0.17	3.31	0.15	32.8
495.69	1.86	0.09	3.32	-0.47	34.9
496.31			3.25	-0.18	36.8
496.93	2.19	0.32	3.25	0.04	36.3
497.56	2.18	0.02	3.26	0.03	36.4
498.18	2.35	0.67	3.27	0.2	37.9
498.8	2.23	0.22	3.33	-0.11	34.5
499.42	2.23	0.94	3.29	0.2	36.9
500.04	2.2	0.45	3.37	0.26	33.2
500.67	2.17	0.55	3.32	0.11	26.3
501.29	2.14	-0.12	3.28	-0.12	22.5
501.91	2.37	0.5	3.41	-0.34	28.9
502.53			3.34	0.02	35.7
503.16			3.33	0.46	38.2
503.78	2.15	-0.02	3.42	-0.12	37.7
504.4	2.51	0.54	3.46	0.08	32.8
505.02			3.57	-0.26	30.8
505.64	2.49	1.66	3.58	-0.15	26.7
506.27			3.48	-0.4	32.3
506.89	2.46	0.26	3.56	0.09	35.3
507.51			3.58	0.15	35.7
508.13	2.46	0.2	3.55	-0.03	33.9
508.76	2.49	-0.03	3.54	0.14	35.8
509.38					31.3
510			3.63	0.4	32.2
510.36			3.6	-0.09	31.2
510.72	2.47	0.25	3.52	0.05	29
511.08	2.47	0.38	3.64	0.65	32.7
511.44			3.61	-0.02	32.8
511.8			3.62	0.05	33.3
512.16			3.54	-0.35	35.6
512.52			3.54	0.07	34.8
512.88	2.26	-0.04	3.55	0.09	37.5
513.24	2.69	0.36	3.46	-0.07	36.4
513.6			3.43	0.15	37.8
513.96	2.35	0.63	3.43	-0.16	40.5
514.32			3.43	-0.16	39.4
514.68	2.21	0.88	3.44	0.11	43.3
515.04	2.53	0.06	3.56	-0.12	41.3
515.4	2.14	0.47	3.42	0.12	47.2
515.76	2.1	0.68	3.44	0.51	50.7
516.12	2.54	0.39	3.3	0.11	45
516.48	2.22	0.04	3.39	0.23	47.5
516.84	2.14	-0.12	3.42	0.24	48.3
517.2			3.41	0.32	48.8
517.56	2.33	-0.02	3.33	0.21	50.6
517.92	2.01	0.14	3.42	0.13	53.8
518.28	2.61	0.96			51.1
518.64	2.6	0.9	3.38	-0.21	49.8
519	2.55	0.52	3.32	-0.05	48.3
519.36	2.13	0.69			53.8
519.72	2.34	0.23	3.28	-0.14	51.7
520.08			3.31	-0.19	
520.44			3.34	-0.55	
521.52					54.2
521.88	2.14	0.15			50.7
522.24	2.41	0.8	3.27	-0.33	51.2
522.6	2.52	0.38	3.21	-0.46	48.9
522.96	2.38	0.34	3.48	-0.79	50.6
523.32	2.68	0.71	3.4	-0.49	57.4
526.48			3.35	-0.35	62.1
526.84	2.74	0.42	3.34	-0.1	62.6
527.2	2.72	0.1	3.45	-0.15	60.3
527.56	2.74	0.34	3.48	-0.32	57.3
527.92	2.67	0.25	3.57	-0.53	55
528.28			3.49	-0.69	50.1
528.64	2.62	0.49	3.41	-0.92	44.4
529	2.48	0.02	3.49	-0.74	38.6
529.36	2.41	-0.61	3.7	-1.14	40
529.72	2.38	-0.74	3.68	-1.37	35.2
530.08	2.44	-0.92	3.68	-1.17	30.3
530.44	2.36	-0.6	3.71	-0.97	32.8
530.8	2.54	-0.49	3.75	-1.11	34
531.16	2.45	-0.42	3.77	-1.59	31.5
531.52	2.56	-0.4	3.83	-1.27	32.4
531.88	2.63	-0.28	3.8	-0.65	36.1
532.24	2.55	-0.83	3.93	-1.25	29.6
532.6	2.71	-0.63	3.91	-0.57	24.4
532.96	2.65	-0.56	3.8	-1.04	23.6
533.32	2.55	-0.45	3.72	-1.31	27.9
533.68	2.48	-0.54	3.89	-1.58	29.8
534.04	2.53	-0.45	3.82	-1.54	32.4
534.4	2.46	-0.58	3.87	-1.57	30.8
534.76	2.6	-0.33	3.8	-1.45	35.3
535.12	2.61	-0.7	3.72	-1.33	40.2
535.48	2.56	-0.82	3.82	-1.18	45.5
535.84	2.47	-0.49	3.83	-1.16	43.1
536.2	2.56	-0.41	3.81	-0.78	45.1
536.56	2.43	-0.67	3.78	-1.16	44.8
536.92	2.55	-0.42	3.78	-1.13	44
537.28	2.46	-0.65	3.75	-0.58	41.7
537.64	2.33	-0.87	3.8	-1.23	44.9
538	2.48	-0.64	3.76	-1.34	42.8
538.31	2.6	-0.54	3.78	-1.25	41.2
538.62	2.66	-0.43	3.78	-1.57	40
538.93	2.6	-0.62	3.84	-0.95	38.3
539.24	2.44	-0.66	3.86	-0.59	38.7
539.56	2.29	-0.67	3.83	-1.06	38.1
539.87	2.27	-0.7	3.77	-0.9	32
540.18	2.31	-0.68	3.73	-1.57	32
540.49	2.6	-0.64	3.79	-1.24	21.7
540.8	2.26	-0.65	3.79	-1.06	11.8
541.11	2.37	-0.45	3.74	-1.51	7.8
541.42	2.3	-0.53	3.8	-1.38	11
541.73	2.59	-0.47	3.75	-1.18	19.6
542.04	2.54	-0.54	3.79	-1.39	19.4
542.36	2.9	-0.41	3.78	-1.11	14.2
542.67			3.71	-1.17	12.9
542.98	2.66	-0.57	3.75	-1.18	14
543.29	2.35	-0.65	3.73	-1.29	11.9
543.6	2.47	-0.53	3.71	-0.45	11.2
543.91	2.82	-0.06	3.77	-0.88	8.3
544.22	2.42	-0.56	3.7	-1.17	10.2
544.53	2.52	-0.3	3.7	-0.91	10.6
544.84			3.68	-0.85	11.3
545.16	2.28	-0.85	3.58	-0.76	12.3
545.47	2.4	-0.3	3.63	-1.09	12.7
545.78	2.57	-0.61	3.6	-0.98	12.4
546.09	2.56	-0.28	3.72	-0.72	11
546.4	2.4	-0.13	3.63	-0.85	10.3
546.71			3.57	-0.9	10.6
547.02	2.46	-0.37	3.59	-0.98	9.2
547.33	2.69	0.14	3.81	-0.74	6.1
547.64			3.5	-0.56	8.4
547.96	2.38	-0.4	3.59	-0.64	5.4
548.27	1.99	-0.45	3.56	-1.02	5.6
548.58			3.78	-0.73	2.9
548.89			3.68	-1.2	6.2
549.2			3.52	-0.34	2.5
549.51			3.5	-0.96	2.8
549.82	2.33	-0.01	3.43	-0.93	9.6
550.13	2.31	-0.33	3.55	-0.45	13.4
550.44	2.39	-0.14	3.34	-0.61	17.7
550.76			3.37	-0.52	11
551.07			3.35	-0.55	4.1
551.38	2.26	0.01	3.5	-0.87	0.9
551.69	2	-0.39			5.2
552	2.23	-0.45	3.4	-1.13	8.5
552.59	2.17	-0.3	3.34	-0.45	7.9
553.19	2.23	-0.2	3.43	-0.24	13.7
553.78	2.31	-0.02	3.31	0.27	17.8
554.38	2.41	0.11	3.22	-0.09	19.3
554.97			3.23	-0.16	19.4
555.57			3.21	-0.03	13.7
556.16			3.19	-0.28	9.1
556.76			3.36	-0.07	6
557.35					0
557.95					0.3
558.54					0.3
559.14					0
559.73					0
560.32					0.4
560.92					0.4
561.51					0.3
562.11			3.37	0.11	1.3
562.7			3.42	0.47	0.3
563.3					0.3
563.89					0.3
564.49					0
565.08					0
565.68					0
566.27					0.2
566.86					0.3
567.46					1
568.05			2.94	0.16	1.5
568.65			2.84	0.12	5.1
569.24			3.03	-0.23	4.6
569.84			2.82	0.19	7.1
570.43			2.83	-0.17	8.4
571.03			2.94	-0.09	10.1
571.62					14.1
572.22					13.3
572.81			2.73	-0.13	14.7
573.41			2.74	-0.18	16.3
574					18.8
575.91			3.24	0.23	16
577.27			3.25	-0.68	12.5
578.64			3.2	-0.35	11.3
580			3.48	-0.31	9.8
580.29			3.1	-0.29	11.3
580.58			3.47	-0.1	3.1
580.87					0.4
581.17					1.1
581.46					0.8
581.75					0.4
582.04					0.4
582.33					0.4
582.62					0.5
582.92					0.8
583.21					0.7
583.5					0.4
583.79					0.5
584.08					0.9
584.37					1
584.67					1.2
584.96					7.8
585.13					0.8
585.25					0
585.54					0
585.83					0
586.12					0
586.42					0
586.71			3.08	-0.32	0
587					0
587.29					0
587.58					0
587.88					0
588.17					0
588.46					0
588.75					0.3
589.04					0.3
589.33					0.9
589.63					0
589.92					0
590.21					0
590.5			3.38	-0.36	0.2
590.79					1.4
591.08			3	-0.09	1.8
591.38					2.6
591.67			3.1	-0.09	2.6
591.96			2.79	0.08	8.9
592.25			2.85	-0.19	9.3
592.54			2.93	-0.31	7.8
592.83			2.82	-0.5	8.1
593.13			2.81	0.26	13.6
593.42					22.6
593.71			2.64	-0.38	22.2
594			2.72	-0.27	21.3
594.4			2.6	-0.39	22.1
594.8					21.7
595.2			2.56	-1.15	21.8
595.6					21.6
596			2.74	0.02	21.8
596.4			3.3	-0.82	11.8
596.8			2.93	-0.38	10.6
597.2			3.17	-1.16	12.1
597.6					22.2
598			2.74	-0.32	18.9
598.4			2.8	-0.31	13.9
598.8			3.21	-1.07	11.9
599.2			2.72	-0.11	10.1
599.6			3.41	-0.91	10.2
600			3.58	-0.8	9.1
600.4					11.2
600.8			3.6	-0.45	11.4
601.2			3.54	-0.73	8.6
601.6			3.56	-0.65	8.3
602			3.53	-0.12	4.7
602.4			3.54	-0.7	6.9
602.8			3.48	-0.31	5.4
603.2			3.69	-0.58	7.6
603.6					6.5
604			3.58	-0.99	6.1
604.36					8.8
604.71			3.5	-0.83	14.5
605.07			3.53	-0.43	19.5
605.43			3.52	0.06	16.1
605.79			3.39	-0.78	15.3
606.14			3.38	-0.61	16.8
606.5			3.42	-0.37	17.8
606.86			3.34	-0.49	18.8
607.21			3.35	-0.57	16.8
607.57			3.34	-0.61	17.6
607.93			3.38	-0.73	16.8
608.29			3.36	-0.52	17.4
608.64			3.35	-0.52	17.8
609			3.39	-0.29	15.7
609.36			3.39	-0.85	18.8
609.71			3.36	-0.2	17
610.07			3.36	-0.34	15.9
610.43			3.37	-0.93	16.3
610.79			3.06	-0.49	15.7
611.14			3.31	-0.2	16.8
611.5			3.36	-0.4	15.3
611.86			3.31	-0.32	17.3
612.21			3.33	-0.45	17.9
612.57			3.24	-0.4	17
612.93			3.34	-0.29	17.4
613.29			3.34	-0.57	19.8
613.64			3.37	-0.85	5.9
614			3.24	-0.74	9
614.36			3.33	-0.23	13
614.71			3.32	0.05	9.4
615.07			3.24	-0.24	13
